name             unit    null    ucd               description         
OBJID               none    none    meta.id;meta.main       "Object ID"         
RA                  deg     none    pos.eq.ra;meta.main     "Right Ascension"   
DEC                 deg     none    pos.eq.dec;meta.main    "Declination"       
countrates_full            ph.s-1    none    phot.flux               "photon flux integrated in 0.3-10keV"
countrates_error_full    ph.s-1    none    phot.flux;stat.error    "error photon flux integrated in 0.3-10keV"
exposure_time       s       none    time.duration;obs.exposure "Total exposure time (non-contiguous)"
countrates_soft            ph.s-1    -999    phot.flux               "photon flux integrated in 0.3-1keV"
countrates_error_soft    ph.s-1    -999    phot.flux;stat.error    "error photon flux integrated in 0.3-1keV"
upper_limit_soft            ph.s-1    -999    phot.flux;stat.max      "upper-limit photon flux integrated in 0.3-1keV"
countrates_medium            ph.s-1    -999    phot.flux               "photon flux integrated in 1-2keV"
countrates_error_medium    ph.s-1    -999    phot.flux;stat.error    "error photon flux integrated in 1-2keV"
upper_limit_medium            ph.s-1    -999    phot.flux;stat.max      "upper-limit photon flux integrated in 1-2keV"    
countrates_hard            ph.s-1    -999    phot.flux               "photon flux integrated in 2-10keV"
countrates_error_hard    ph.s-1    -999    phot.flux;stat.error    "error photon flux integrated in 2-10keV"
upper_limit_hard            ph.s-1    -999    phot.flux;stat.max      "upper-limit photon flux integrated in 2-10keV"    
