OBJID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,NUFNU_3000EV,NUFNU_ERROR_3000EV,NUFNU_500EV,NUFNU_ERROR_500EV,UPPER_LIMIT_500EV,NUFNU_1500EV,NUFNU_ERROR_1500EV,UPPER_LIMIT_1500EV,NUFNU_4500EV,NUFNU_ERROR_4500EV,UPPER_LIMIT_4500EV,COUNTRATES_300_10000EV,COUNTRATES_ERROR_300_10000EV,COUNTRATES_300_1000EV,COUNTRATES_ERROR_300_1000EV,UPPER_LIMIT_300_1000EV,COUNTRATES_1000_2000EV,COUNTRATES_ERROR_1000_2000EV,UPPER_LIMIT_1000_2000EV,COUNTRATES_2000_10000EV,COUNTRATES_ERROR_2000_10000EV,UPPER_LIMIT_2000_10000EV,RUNID
1,14.102,-1.27731,3.54e+20,0.8,-999/-999,4572.8,7.69431e-14,2.1177e-14,2.16995e-14,1.55274e-14,-999,1.05067e-13,4.02727e-14,-999,9.04641e-14,4.60196e-14,-999,0.00545,0.0015,0.0008385,0.0006,-999,0.002935,0.001125,-999,0.001677,0.0008531,-999,0_14_-1
2,14.0797,-1.2495,3.52e+20,0.8,-999/-999,4684.2,6.20796e-14,1.97526e-14,1.26332e-14,1.25221e-14,-999,7.00033e-14,3.43038e-14,-999,1.05511e-13,5.17034e-14,-999,0.0044,0.0014,0.0004889,0.0004846,-999,0.001956,0.0009585,-999,0.001956,0.0009585,-999,0_14_-1
3,14.0958,-1.22764,3.51e+20,0.8,-999/-999,4649.6,5.40183e-14,1.97456e-14,2.19754e-14,1.75189e-14,-999,4.56974e-14,3.00594e-14,-999,9.18615e-14,5.22796e-14,-999,0.00383,0.0014,0.0008511,0.0006785,-999,0.001277,0.00084,-999,0.001703,0.0009692,-999,0_14_-1
4,14.0684,-1.23484,3.51e+20,0.8,-999/-999,4642,8.01107e-14,2.25664e-14,1.12808e-14,1.18772e-14,-999,9.37925e-14,3.93635e-14,-999,1.41379e-13,5.93351e-14,-999,0.00568,0.0016,0.0004369,0.00046,-999,0.002621,0.0011,-999,0.002621,0.0011,-999,0_14_-1
5,14.0705,-1.22122,3.5e+20,0.8,-999/-999,4587.3,7.1346e-14,2.115e-14,5.44143e-14,2.41884e-14,-999,4.5263e-14,2.64994e-14,-999,9.09428e-14,4.60162e-14,-999,0.00506,0.0015,0.002109,0.0009375,-999,0.001265,0.0007406,-999,0.001686,0.0008531,-999,0_14_-1
6,14.0557,-1.2487,3.51e+20,0.8,-999/-999,4462.9,5.76854e-14,1.97456e-14,5.28019e-14,2.58716e-14,-999,5.48584e-14,3.12153e-14,-999,2.75746e-14,2.73049e-14,-999,0.00409,0.0014,0.002045,0.001002,-999,0.001533,0.0008723,-999,0.0005112,0.0005062,-999,0_14_-1
7,14.1078,-1.35617,3.57e+20,0.8,-999/-999,4736.2,4.40918e-14,1.69584e-14,4.04633e-14,2.28254e-14,-999,4.18989e-14,-4.29374e-11,1.23047e-13,8.41558e-14,4.74725e-14,-999,0.00312,0.0012,0.00156,0.00088,-999,0.00117,-1.199,0.003436,0.00156,0.00088,-999,0_14_-1
8,14.0127,-1.23938,3.5e+20,0.8,-999/-999,4647.6,4.8927e-14,1.833e-14,2.55791e-14,1.82387e-14,-999,8.87011e-14,4.07188e-14,-999,9.35859e-14,-7.00681e-11,1.76815e-13,0.00347,0.0013,0.0009914,0.0007069,-999,0.002479,0.001138,-999,0.001735,-1.299,0.003278,0_14_-1
9,-49.1757,-0.723092,5.31e+20,0.791,+0.04/-0.04,44772.7,7.97509e-13,1.80228e-14,3.8414e-13,1.70909e-14,-999,8.83869e-13,2.87038e-14,-999,8.60535e-13,3.45353e-14,-999,0.0531,0.0012,0.01307,0.0005815,-999,0.02416,0.0007846,-999,0.01587,0.0006369,-999,101_310_0
10,-49.1873,-0.677192,5.3e+20,0.599,+0.14/-0.12,45446.9,8.33061e-14,6.71268e-15,3.07226e-14,5.1139e-15,-999,7.5467e-14,9.23942e-15,-999,9.7311e-14,1.32195e-14,-999,0.00484,0.00039,0.001097,0.0001826,-999,0.002033,0.0002489,-999,0.00171,0.0002323,-999,101_310_0
11,-49.2215,-0.707921,5.31e+20,0.8,-999/-999,40150.7,7.60716e-15,2.68488e-15,5.84367e-15,3.37248e-15,-999,6.21469e-15,3.88966e-15,-999,7.66512e-15,5.31095e-15,-999,0.00051,0.00018,0.0001984,0.0001145,-999,0.00017,0.0001064,-999,0.0001417,9.818e-05,-999,101_310_0
12,-49.0689,-0.761124,5.32e+20,0.8,-999/-999,45644.2,7.56444e-15,2.3872e-15,4.07639e-15,2.4703e-15,-999,6.74185e-15,3.62137e-15,-999,9.97512e-15,5.35811e-15,-999,0.000507,0.00016,0.0001383,8.381e-05,-999,0.0001844,9.905e-05,-999,0.0001844,9.905e-05,-999,101_310_0
13,-49.23,-0.634637,5.29e+20,0.8,-999/-999,42129.6,2.04226e-14,3.72675e-15,1.18476e-14,4.04429e-15,-999,1.91402e-14,5.71245e-15,-999,2.3974e-14,7.77316e-15,-999,0.00137,0.00025,0.0004028,0.0001375,-999,0.0005237,0.0001563,-999,0.0004432,0.0001437,-999,101_310_0
