name             unit            null    ucd               description         
OBJID               none            none    meta.id;meta.main       "Object ID"         
RA                  deg             none    pos.eq.ra;meta.main     "Right Ascension"   
DEC                 deg             none    pos.eq.dec;meta.main    "Declination"
NH                  cm-2            none    phys.columnDensity      "Total HI column density"
ENERGY_SLOPE        none            none    spect.index             "Hard/Soft flux ratio"
ENERGY_SLOPE_ERROR  none            -999    stat.error;spect.index   "Hard/Soft flux ratio error"
EXPOSURE_TIME       s               none    time.duration;obs.exposure "Total exposure time (non-contiguous)"
nufnu_3keV        erg.s-1.cm-2    none    phot.flux;em.X-ray    "Full band nuFnu-flux at 3keV"
nufnu_error_3keV    erg.s-1.cm-2    none    stat.error;phot.flux;em.X-ray       "Full band nuFnu-flux at 3keV"
nufnu_0.5keV        erg.s-1.cm-2    -999    phot.flux;em.X-ray.soft                "soft nuFnu-flux at 0.5keV"
nufnu_error_0.5keV  erg.s-1.cm-2    -999    stat.error;phot.flux;em.X-ray.soft    "soft nuFnu-flux at 0.5keV"
upper_limit_0.5keV  erg.s-1.cm-2    -999    phot.flux;em.X-ray.soft;stat.max    "medium nuFnu-flux at 0.5keV"
nufnu_1.5keV        erg.s-1.cm-2    -999    phot.flux;em.X-ray.medium            "medium nuFnu-flux at 1.5keV"
nufnu_error_1.5keV  erg.s-1.cm-2    -999    stat.error;phot.flux;em.X-ray.medium    "medium nuFnu-flux at 1.5keV"
upper_limit_1.5keV  erg.s-1.cm-2    -999    phot.flux;em.X-ray.medium;stat.max    "medium nuFnu-flux at 1.5keV"
nufnu_4.5keV        erg.s-1.cm-2    -999    phot.flux;em.X-ray.hard                "hard nuFnu-flux at 4.5keV"
nufnu_error_4.5keV  erg.s-1.cm-2    -999    stat.error;phot.flux;em.X-ray.hard    "hard nuFnu-flux at 4.5keV"
upper_limit_4.5keV  erg.s-1.cm-2    -999    phot.flux;em.X-ray.hard;stat.max    "hard nuFnu-flux at 4.5keV"
